BIN,Number_of_Filings
4619386,30
3424509,29
3427362,25
3429049,24
2129717,23
3427363,22
1091035,21
2130549,20
3426408,18
2129659,18
3428961,17
3182580,17
2129667,17
2128521,17
4310504,17
3429316,16
2129670,16
1087037,15
2129686,14
2129682,14
2115530,14
2129658,14
3426256,13
2129688,13
2130748,13
2128940,13
1052673,13
2001293,13
2129661,13
3428601,13
2008565,12
2129653,12
2129718,12
2129677,11
2130883,11
2129657,11
3394657,11
3429355,11
2012504,11
4617912,10
2129695,10
2129642,10
2129690,10
4006900,10
3116214,10
2130670,10
3426435,10
2129313,10
2129132,9
2129230,9
1012275,9
2130895,9
3427373,9
4623596,9
4623447,9
4617904,9
3323647,9
2120490,9
2129211,8
1090815,8
3002107,8
1091604,8
3429174,8
2130639,8
2015801,8
2128884,8
3425088,8
3425049,8
3421424,8
2024208,8
3048525,8
2129205,8
4622929,8
4623445,7
3048184,7
3010094,7
4602879,7
3426817,7
1030422,7
3048075,7
2129212,7
2129467,7
2129207,7
2129160,7
2129210,7
4030858,6
4000694,6
4618175,6
4607819,6
1091581,6
2129723,6
2129204,6
3239752,6
3429096,6
2129209,6
4619683,6
2001084,6
2129206,6
3426244,6
3036908,6
2010971,6
2016340,6
2129384,6
3428606,6
3428754,6
2015133,6
3428749,6
4623448,6
2129137,6
3083402,5
2055725,5
3038957,5
1091647,5
4004829,5
3024085,5
3084226,5
1091675,5
3110834,5
3114056,5
3178563,5
2113436,5
3429170,5
2001531,5
3428907,5
3428888,5
2017263,5
3425920,5
1091774,5
2008515,5
4619681,5
1091000,5
2129208,5
4619682,5
2129696,5
4619684,5
4618650,5
2129685,5
1091579,5
4619680,5
4044832,5
2130763,5
2129668,5
1090762,4
3325886,4
2127053,4
3242302,4
4624027,4
3428618,4
4619685,4
2016339,4
4619734,4
3425974,4
1060632,4
2042235,4
2016341,4
3428846,4
3428849,4
3425679,4
3429236,4
3068278,4
2130623,4
2064641,4
2130636,4
4431610,4
1091600,4
3429344,4
2130396,4
2130365,4
2130690,4
1091703,4
3071063,4
3428623,3
4183700,3
4623654,3
3427387,3
4617726,3
4620901,3
3429283,3
3429692,3
4620899,3
1091040,3
3429686,3
3428937,3
3429008,3
3429339,3
3429148,3
4044831,3
2129651,3
3108299,3
2011408,3
2130660,3
2130595,3
2130470,3
3425087,3
3254241,3
3207054,3
3044163,3
2130650,3
2129689,3
2129687,3
3119670,3
3427349,3
3427297,3
2042240,3
2129674,3
3109443,3
2130635,3
4010087,2
3076032,2
2099635,2
2129070,2
3427357,2
4531227,2
4607559,2
3088675,2
2130551,2
2130430,2
1091038,2
2129714,2
2129693,2
2129683,2
2129680,2
4623384,2
1076207,2
2129647,2
2130552,2
5174441,2
3428811,2
3427369,2
2017287,2
3401198,2
3428876,2
3429436,2
3428571,2
3427334,2
3423163,2
3388089,2
3332256,2
3429074,2
3427364,2
3181613,2
2012657,2
3117838,2
2129665,2
2008677,2
3429469,1
3428595,1
2005279,1
2129375,1
2129684,1
2129698,1
4620904,1
2129679,1
2129676,1
2129621,1
4623824,1
2014823,1
2130545,1
2129701,1
3429051,1
3114069,1
3429695,1
2091997,1
3244263,1
4037468,1
4043689,1
2130820,1
3425663,1
3323539,1
4270383,1
2130659,1
3429036,1
2022128,1
4539499,1
3071866,1
